id,book_id,genre_id
1,1,35
2,2,11
3,3,40
4,4,45
5,5,12
6,6,13
7,7,15
8,8,18
9,9,11
10,10,35
11,11,16
12,12,8
13,13,23
14,14,40
15,15,42
16,16,25
17,17,28
18,18,42
19,19,37
20,20,3
21,21,2
22,22,29
23,23,39
24,24,32
25,25,30
26,26,21
27,27,39
28,28,20
29,29,3
30,30,25
31,31,39
32,32,35
33,33,25
34,34,3
35,35,10
36,36,22
37,37,14
38,38,26
39,39,16
40,40,14
41,41,2
42,42,27
43,43,2
44,44,6
45,45,40
46,46,33
47,47,36
48,48,26
49,49,37
50,50,8
51,51,2
52,52,38
53,53,28
54,54,11
55,55,11
56,56,25
57,57,28
58,58,35
59,59,35
60,60,27
61,61,27
62,62,5
63,63,14
64,64,22
65,65,31
66,66,36
67,67,8
68,68,27
69,69,39
70,70,42
71,71,6
72,72,26
73,73,7
74,74,2
75,75,21
76,76,12
77,77,31
78,78,32
79,79,18
80,80,38
81,81,31
82,82,42
83,83,38
84,84,38
85,85,11
86,86,13
87,87,40
88,88,15
89,89,27
90,90,31
91,91,6
92,92,10
93,93,23
94,94,45
95,95,26
96,96,33
97,97,32
98,98,10
99,99,11
100,100,44
101,101,40
102,102,14
103,103,18
104,104,37
105,105,44
106,106,18
107,107,21
108,108,7
109,109,5
110,110,38
111,111,25
112,112,7
113,113,21
114,114,36
115,115,3
116,116,9
117,117,32
118,118,6
119,119,26
120,120,11
121,121,10
122,122,29
123,123,16
124,124,21
125,125,45
126,126,30
127,127,26
128,128,6
129,129,5
130,130,29
131,131,40
132,132,35
133,133,34
134,134,2
135,135,44
136,136,22
137,137,29
138,138,23
139,139,10
140,140,2
141,141,27
142,142,31
143,143,35
144,144,2
145,145,35
146,146,34
147,147,3
148,148,29
149,149,12
150,150,38
151,151,41
152,152,15
153,153,22
154,154,29
155,155,41
156,156,10
157,157,33
158,158,11
159,159,45
160,160,12
161,161,40
162,162,33
163,163,25
164,164,25
165,165,15
166,166,8
167,167,15
168,168,31
169,169,5
170,170,43
171,171,37
172,172,11
173,173,10
174,174,20
175,175,37
176,176,6
177,177,23
178,178,9
179,179,40
180,180,2
181,181,15
182,182,30
183,183,44
184,184,34
185,185,33
186,186,11
187,187,12
188,188,20
189,189,39
190,190,8
191,191,9
192,192,25
193,193,21
194,194,20
195,195,21
196,196,22
197,197,10
198,198,30
199,199,31
200,200,38
201,201,30
202,202,35
203,203,8
204,204,43
205,205,11
206,206,22
207,207,27
208,208,21
209,209,34
210,210,43
211,211,37
212,212,27
213,213,13
214,214,32
215,215,12
216,216,35
217,217,21
218,218,18
219,219,37
220,220,3
221,221,32
222,222,27
223,223,34
224,224,10
225,225,31
226,226,41
227,227,13
228,228,2
229,229,9
230,230,15
231,231,25
232,232,9
233,233,13
234,234,27
235,235,2
236,236,8
237,237,22
238,238,41
239,239,21
240,240,3
241,241,39
242,242,31
243,243,18
244,244,14
245,245,8
246,246,7
247,247,12
248,248,10
249,249,25
250,250,11
251,251,35
252,252,20
253,253,37
254,254,3
255,255,14
256,256,2
257,257,21
258,258,6
259,259,12
260,260,18
261,261,2
262,262,5
263,263,38
264,264,42
265,265,37
266,266,37
267,267,25
268,268,2
269,269,42
270,270,5
271,271,5
272,272,25
273,273,23
274,274,13
275,275,11
276,276,5
277,277,3
278,278,27
279,279,9
280,280,41
281,281,25
282,282,36
283,283,32
284,284,5
285,285,9
286,286,45
287,287,39
288,288,14
289,289,18
290,290,34
291,291,22
292,292,30
293,293,27
294,294,37
295,295,8
296,296,7
297,297,21
298,298,31
299,299,43
300,300,2
301,301,30
302,302,25
303,303,39
304,304,12
305,305,35
306,306,10
307,307,41
308,308,5
309,309,10
310,310,7
311,311,41
312,312,44
313,313,30
314,314,35
315,315,5
316,316,35
317,317,32
318,318,18
319,319,41
320,320,7
321,321,21
322,322,39
323,323,2
324,324,20
325,325,30
326,326,40
327,327,10
328,328,5
329,329,6
330,330,40
331,331,16
332,332,7
333,333,7
334,334,8
335,335,38
336,336,26
337,337,44
338,338,42
339,339,5
340,340,7
341,341,9
342,342,3
343,343,23
344,344,35
345,345,45
346,346,8
347,347,14
348,348,42
349,349,15
350,350,31
351,351,36
352,352,35
353,353,32
354,354,37
355,355,36
356,356,45
357,357,27
358,358,5
359,359,43
360,360,20
361,361,32
362,362,8
363,363,26
364,364,43
365,365,21
366,366,25
367,367,28
368,368,44
369,369,44
370,370,25
371,371,26
372,372,22
373,373,41
374,374,3
375,375,39
376,376,14
377,377,25
378,378,32
379,379,26
380,380,38
381,381,40
382,382,5
383,383,31
384,384,35
385,385,8
386,386,3
387,387,7
388,388,38
389,389,16
390,390,44
391,391,18
392,392,28
393,393,11
394,394,34
395,395,44
396,396,43
397,397,41
398,398,12
399,399,37
400,400,18
401,401,7
402,402,36
403,403,36
404,404,42
405,405,28
406,406,34
407,407,39
408,408,21
409,409,30
410,410,15
